"epoch","CNN - _step","CNN - _step__MIN","CNN - _step__MAX","CNN - validate_no_aug_accuracy/dataloader_idx_1","CNN - validate_no_aug_accuracy/dataloader_idx_1__MIN","CNN - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-random_patches - _step","LLN-random_patches - _step__MIN","LLN-random_patches - _step__MAX","LLN-random_patches - validate_no_aug_accuracy/dataloader_idx_1","LLN-random_patches - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-random_patches - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-convFalse - _step","LLN-convFalse - _step__MIN","LLN-convFalse - _step__MAX","LLN-convFalse - validate_no_aug_accuracy/dataloader_idx_1","LLN-convFalse - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-convFalse - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-ours - _step","LLN-ours - _step__MIN","LLN-ours - _step__MAX","LLN-ours - validate_no_aug_accuracy/dataloader_idx_1","LLN-ours - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-ours - validate_no_aug_accuracy/dataloader_idx_1__MAX"
"0","15","15","15","0.5175999999046326","0.5175999999046326","0.5175999999046326","15","15","15","0.5782999992370605","0.5782999992370605","0.5782999992370605","15","15","15","0.6780999898910522","0.6780999898910522","0.6780999898910522","15","15","15","0.6575000286102295","0.6575000286102295","0.6575000286102295"
"1","32","32","32","0.5568000078201294","0.5568000078201294","0.5568000078201294","32","32","32","0.6121000051498413","0.6121000051498413","0.6121000051498413","32","32","32","0.6809999942779541","0.6809999942779541","0.6809999942779541","32","32","32","0.6909999847412109","0.6909999847412109","0.6909999847412109"
"2","48","48","48","0.5551999807357788","0.5551999807357788","0.5551999807357788","48","48","48","0.6194000244140625","0.6194000244140625","0.6194000244140625","48","48","48","0.6926000118255615","0.6926000118255615","0.6926000118255615","48","48","48","0.6960999965667725","0.6960999965667725","0.6960999965667725"
"3","65","65","65","0.5784000158309937","0.5784000158309937","0.5784000158309937","65","65","65","0.6123999953269958","0.6123999953269958","0.6123999953269958","65","65","65","0.7064999938011169","0.7064999938011169","0.7064999938011169","65","65","65","0.7092999815940857","0.7092999815940857","0.7092999815940857"
"4","82","82","82","0.6194999814033508","0.6194999814033508","0.6194999814033508","82","82","82","0.6341000199317932","0.6341000199317932","0.6341000199317932","82","82","82","0.7224000096321106","0.7224000096321106","0.7224000096321106","82","82","82","0.7152000069618225","0.7152000069618225","0.7152000069618225"
"5","98","98","98","0.6097000241279602","0.6097000241279602","0.6097000241279602","98","98","98","0.6331999897956848","0.6331999897956848","0.6331999897956848","98","98","98","0.7077000141143799","0.7077000141143799","0.7077000141143799","98","98","98","0.7224000096321106","0.7224000096321106","0.7224000096321106"
"6","115","115","115","0.6093999743461609","0.6093999743461609","0.6093999743461609","115","115","115","0.6554999947547913","0.6554999947547913","0.6554999947547913","115","115","115","0.7199000120162964","0.7199000120162964","0.7199000120162964","115","115","115","0.7336000204086304","0.7336000204086304","0.7336000204086304"
"7","132","132","132","0.6215999722480774","0.6215999722480774","0.6215999722480774","132","132","132","0.646399974822998","0.646399974822998","0.646399974822998","132","132","132","0.7027999758720398","0.7027999758720398","0.7027999758720398","132","132","132","0.7258999943733215","0.7258999943733215","0.7258999943733215"
"8","148","148","148","0.633400022983551","0.633400022983551","0.633400022983551","148","148","148","0.6554999947547913","0.6554999947547913","0.6554999947547913","148","148","148","0.7246999740600586","0.7246999740600586","0.7246999740600586","148","148","148","0.7315000295639038","0.7315000295639038","0.7315000295639038"
"9","165","165","165","0.6234999895095825","0.6234999895095825","0.6234999895095825","165","165","165","0.6499999761581421","0.6499999761581421","0.6499999761581421","165","165","165","0.7202000021934509","0.7202000021934509","0.7202000021934509","165","165","165","0.7396000027656555","0.7396000027656555","0.7396000027656555"
"10","182","182","182","0.6534000039100647","0.6534000039100647","0.6534000039100647","182","182","182","0.6541000008583069","0.6541000008583069","0.6541000008583069","182","182","182","0.7197999954223633","0.7197999954223633","0.7197999954223633","182","182","182","0.7416999936103821","0.7416999936103821","0.7416999936103821"
"11","198","198","198","0.6297000050544739","0.6297000050544739","0.6297000050544739","198","198","198","0.6535999774932861","0.6535999774932861","0.6535999774932861","198","198","198","0.7282000184059143","0.7282000184059143","0.7282000184059143","198","198","198","0.7427999973297119","0.7427999973297119","0.7427999973297119"
"12","215","215","215","0.6568999886512756","0.6568999886512756","0.6568999886512756","215","215","215","0.6728000044822693","0.6728000044822693","0.6728000044822693","215","215","215","0.7286999821662903","0.7286999821662903","0.7286999821662903","215","215","215","0.7342000007629395","0.7342000007629395","0.7342000007629395"
"13","231","231","231","0.6338000297546387","0.6338000297546387","0.6338000297546387","231","231","231","0.6771000027656555","0.6771000027656555","0.6771000027656555","231","231","231","0.7307000160217285","0.7307000160217285","0.7307000160217285","231","231","231","0.7441999912261963","0.7441999912261963","0.7441999912261963"
"14","248","248","248","0.6682999730110168","0.6682999730110168","0.6682999730110168","248","248","248","0.6629999876022339","0.6629999876022339","0.6629999876022339","248","248","248","0.7289999723434448","0.7289999723434448","0.7289999723434448","248","248","248","0.7498000264167786","0.7498000264167786","0.7498000264167786"
"15","265","265","265","0.6636999845504761","0.6636999845504761","0.6636999845504761","265","265","265","0.6726999878883362","0.6726999878883362","0.6726999878883362","265","265","265","0.7297000288963318","0.7297000288963318","0.7297000288963318","265","265","265","0.7351999878883362","0.7351999878883362","0.7351999878883362"
"16","281","281","281","0.6654000282287598","0.6654000282287598","0.6654000282287598","281","281","281","0.6657999753952026","0.6657999753952026","0.6657999753952026","281","281","281","0.7401000261306763","0.7401000261306763","0.7401000261306763","281","281","281","0.7437000274658203","0.7437000274658203","0.7437000274658203"
"17","298","298","298","0.6589999794960022","0.6589999794960022","0.6589999794960022","298","298","298","0.6697999835014343","0.6697999835014343","0.6697999835014343","298","298","298","0.7307999730110168","0.7307999730110168","0.7307999730110168","298","298","298","0.7443000078201294","0.7443000078201294","0.7443000078201294"
"18","315","315","315","0.6769000291824341","0.6769000291824341","0.6769000291824341","315","315","315","0.6793000102043152","0.6793000102043152","0.6793000102043152","315","315","315","0.7193999886512756","0.7193999886512756","0.7193999886512756","315","315","315","0.7422000169754028","0.7422000169754028","0.7422000169754028"
"19","331","331","331","0.6496999859809875","0.6496999859809875","0.6496999859809875","331","331","331","0.6807000041007996","0.6807000041007996","0.6807000041007996","331","331","331","0.7346000075340271","0.7346000075340271","0.7346000075340271","331","331","331","0.7445999979972839","0.7445999979972839","0.7445999979972839"
"20","348","348","348","0.6764000058174133","0.6764000058174133","0.6764000058174133","348","348","348","0.6790000200271606","0.6790000200271606","0.6790000200271606","348","348","348","0.7324000000953674","0.7324000000953674","0.7324000000953674","348","348","348","0.7436000108718872","0.7436000108718872","0.7436000108718872"
"21","365","365","365","0.6665999889373779","0.6665999889373779","0.6665999889373779","365","365","365","0.6748999953269958","0.6748999953269958","0.6748999953269958","365","365","365","0.7246000170707703","0.7246000170707703","0.7246000170707703","365","365","365","0.7426999807357788","0.7426999807357788","0.7426999807357788"
"22","381","381","381","0.6643000245094299","0.6643000245094299","0.6643000245094299","381","381","381","0.6877999901771545","0.6877999901771545","0.6877999901771545","381","381","381","0.7311000227928162","0.7311000227928162","0.7311000227928162","381","381","381","0.7595999836921692","0.7595999836921692","0.7595999836921692"
"23","398","398","398","0.694100022315979","0.694100022315979","0.694100022315979","398","398","398","0.6626999974250793","0.6626999974250793","0.6626999974250793","398","398","398","0.7269999980926514","0.7269999980926514","0.7269999980926514","398","398","398","0.7391999959945679","0.7391999959945679","0.7391999959945679"
"24","415","415","415","0.6730999946594238","0.6730999946594238","0.6730999946594238","415","415","415","0.6862000226974487","0.6862000226974487","0.6862000226974487","415","415","415","0.7311999797821045","0.7311999797821045","0.7311999797821045","415","415","415","0.7555999755859375","0.7555999755859375","0.7555999755859375"
"25","431","431","431","0.6920999884605408","0.6920999884605408","0.6920999884605408","431","431","431","0.6876999735832214","0.6876999735832214","0.6876999735832214","431","431","431","0.7366999983787537","0.7366999983787537","0.7366999983787537","431","431","431","0.7524999976158142","0.7524999976158142","0.7524999976158142"
"26","448","448","448","0.694100022315979","0.694100022315979","0.694100022315979","448","448","448","0.6869999766349792","0.6869999766349792","0.6869999766349792","448","448","448","0.7297999858856201","0.7297999858856201","0.7297999858856201","448","448","448","0.7645999789237976","0.7645999789237976","0.7645999789237976"
"27","464","464","464","0.6985999941825867","0.6985999941825867","0.6985999941825867","464","464","464","0.6880999803543091","0.6880999803543091","0.6880999803543091","464","464","464","0.7319999933242798","0.7319999933242798","0.7319999933242798","464","464","464","0.7585999965667725","0.7585999965667725","0.7585999965667725"
"28","481","481","481","0.6960999965667725","0.6960999965667725","0.6960999965667725","481","481","481","0.6915000081062317","0.6915000081062317","0.6915000081062317","481","481","481","0.7333999872207642","0.7333999872207642","0.7333999872207642","481","481","481","0.7608000040054321","0.7608000040054321","0.7608000040054321"
"29","498","498","498","0.6917999982833862","0.6917999982833862","0.6917999982833862","498","498","498","0.6912000179290771","0.6912000179290771","0.6912000179290771","498","498","498","0.7361000180244446","0.7361000180244446","0.7361000180244446","498","498","498","0.7591000199317932","0.7591000199317932","0.7591000199317932"
"30","514","514","514","0.6938999891281128","0.6938999891281128","0.6938999891281128","514","514","514","0.6952000260353088","0.6952000260353088","0.6952000260353088","514","514","514","0.7390000224113464","0.7390000224113464","0.7390000224113464","514","514","514","0.7577000260353088","0.7577000260353088","0.7577000260353088"
"31","531","531","531","0.6793000102043152","0.6793000102043152","0.6793000102043152","531","531","531","0.6830999851226807","0.6830999851226807","0.6830999851226807","531","531","531","0.7350999712944031","0.7350999712944031","0.7350999712944031","531","531","531","0.7623999714851379","0.7623999714851379","0.7623999714851379"
"32","548","548","548","0.6919000148773193","0.6919000148773193","0.6919000148773193","548","548","548","0.6930999755859375","0.6930999755859375","0.6930999755859375","548","548","548","0.7402999997138977","0.7402999997138977","0.7402999997138977","548","548","548","0.7566999793052673","0.7566999793052673","0.7566999793052673"
"33","564","564","564","0.6984000205993652","0.6984000205993652","0.6984000205993652","564","564","564","0.6897000074386597","0.6897000074386597","0.6897000074386597","564","564","564","0.7378000020980835","0.7378000020980835","0.7378000020980835","564","564","564","0.7581999897956848","0.7581999897956848","0.7581999897956848"
"34","581","581","581","0.7001000046730042","0.7001000046730042","0.7001000046730042","581","581","581","0.6941999793052673","0.6941999793052673","0.6941999793052673","581","581","581","0.7358999848365784","0.7358999848365784","0.7358999848365784","581","581","581","0.7616999745368958","0.7616999745368958","0.7616999745368958"
"35","598","598","598","0.692799985408783","0.692799985408783","0.692799985408783","598","598","598","0.6955999732017517","0.6955999732017517","0.6955999732017517","598","598","598","0.7355999946594238","0.7355999946594238","0.7355999946594238","598","598","598","0.7706000208854675","0.7706000208854675","0.7706000208854675"
"36","614","614","614","0.6819999814033508","0.6819999814033508","0.6819999814033508","614","614","614","0.6909000277519226","0.6909000277519226","0.6909000277519226","614","614","614","0.7310000061988831","0.7310000061988831","0.7310000061988831","614","614","614","0.7580999732017517","0.7580999732017517","0.7580999732017517"
"37","631","631","631","0.7075999975204468","0.7075999975204468","0.7075999975204468","631","631","631","0.6931999921798706","0.6931999921798706","0.6931999921798706","631","631","631","0.7383000254631042","0.7383000254631042","0.7383000254631042","631","631","631","0.7669000029563904","0.7669000029563904","0.7669000029563904"
"38","647","647","647","0.7050999999046326","0.7050999999046326","0.7050999999046326","647","647","647","0.6984000205993652","0.6984000205993652","0.6984000205993652","647","647","647","0.7412999868392944","0.7412999868392944","0.7412999868392944","647","647","647","0.7588000297546387","0.7588000297546387","0.7588000297546387"
"39","664","664","664","0.7085000276565552","0.7085000276565552","0.7085000276565552","664","664","664","0.7041000127792358","0.7041000127792358","0.7041000127792358","664","664","664","0.7311999797821045","0.7311999797821045","0.7311999797821045","664","664","664","0.7731999754905701","0.7731999754905701","0.7731999754905701"
"40","681","681","681","0.7135000228881836","0.7135000228881836","0.7135000228881836","681","681","681","0.6969000101089478","0.6969000101089478","0.6969000101089478","681","681","681","0.7333999872207642","0.7333999872207642","0.7333999872207642","681","681","681","0.7627999782562256","0.7627999782562256","0.7627999782562256"
"41","697","697","697","0.7010999917984009","0.7010999917984009","0.7010999917984009","697","697","697","0.7063000202178955","0.7063000202178955","0.7063000202178955","697","697","697","0.739300012588501","0.739300012588501","0.739300012588501","697","697","697","0.7578999996185303","0.7578999996185303","0.7578999996185303"
"42","714","714","714","0.7124000191688538","0.7124000191688538","0.7124000191688538","714","714","714","0.6972000002861023","0.6972000002861023","0.6972000002861023","714","714","714","0.7408000230789185","0.7408000230789185","0.7408000230789185","714","714","714","0.7623000144958496","0.7623000144958496","0.7623000144958496"
"43","731","731","731","0.6988999843597412","0.6988999843597412","0.6988999843597412","731","731","731","0.7070000171661377","0.7070000171661377","0.7070000171661377","731","731","731","0.7430999875068665","0.7430999875068665","0.7430999875068665","731","731","731","0.761900007724762","0.761900007724762","0.761900007724762"
"44","747","747","747","0.7080000042915344","0.7080000042915344","0.7080000042915344","747","747","747","0.7039999961853027","0.7039999961853027","0.7039999961853027","747","747","747","0.741599977016449","0.741599977016449","0.741599977016449","747","747","747","0.765500009059906","0.765500009059906","0.765500009059906"
"45","764","764","764","0.7113000154495239","0.7113000154495239","0.7113000154495239","764","764","764","0.6969000101089478","0.6969000101089478","0.6969000101089478","764","764","764","0.7351999878883362","0.7351999878883362","0.7351999878883362","764","764","764","0.7605000138282776","0.7605000138282776","0.7605000138282776"
"46","781","781","781","0.718999981880188","0.718999981880188","0.718999981880188","781","781","781","0.7105000019073486","0.7105000019073486","0.7105000019073486","781","781","781","0.741599977016449","0.741599977016449","0.741599977016449","781","781","781","0.7688000202178955","0.7688000202178955","0.7688000202178955"
"47","797","797","797","0.7064999938011169","0.7064999938011169","0.7064999938011169","797","797","797","0.7077000141143799","0.7077000141143799","0.7077000141143799","797","797","797","0.732200026512146","0.732200026512146","0.732200026512146","797","797","797","0.7577000260353088","0.7577000260353088","0.7577000260353088"
"48","814","814","814","0.7062000036239624","0.7062000036239624","0.7062000036239624","814","814","814","0.690500020980835","0.690500020980835","0.690500020980835","814","814","814","0.7470999956130981","0.7470999956130981","0.7470999956130981","814","814","814","0.7670999765396118","0.7670999765396118","0.7670999765396118"
"49","831","831","831","0.7253000140190125","0.7253000140190125","0.7253000140190125","831","831","831","0.7026000022888184","0.7026000022888184","0.7026000022888184","831","831","831","0.7319999933242798","0.7319999933242798","0.7319999933242798","831","831","831","0.7674000263214111","0.7674000263214111","0.7674000263214111"
"50","847","847","847","0.7217000126838684","0.7217000126838684","0.7217000126838684","847","847","847","0.7077999711036682","0.7077999711036682","0.7077999711036682","847","847","847","0.7369999885559082","0.7369999885559082","0.7369999885559082","847","847","847","0.7717999815940857","0.7717999815940857","0.7717999815940857"
"51","864","864","864","0.6949999928474426","0.6949999928474426","0.6949999928474426","864","864","864","0.6998999714851379","0.6998999714851379","0.6998999714851379","864","864","864","0.745199978351593","0.745199978351593","0.745199978351593","864","864","864","0.7731000185012817","0.7731000185012817","0.7731000185012817"
"52","880","880","880","0.7182999849319458","0.7182999849319458","0.7182999849319458","880","880","880","0.708899974822998","0.708899974822998","0.708899974822998","880","880","880","0.7470999956130981","0.7470999956130981","0.7470999956130981","880","880","880","0.7749999761581421","0.7749999761581421","0.7749999761581421"
"53","897","897","897","0.720300018787384","0.720300018787384","0.720300018787384","897","897","897","0.7110000252723694","0.7110000252723694","0.7110000252723694","897","897","897","0.7440000176429749","0.7440000176429749","0.7440000176429749","897","897","897","0.7612000107765198","0.7612000107765198","0.7612000107765198"
"54","914","914","914","0.7224000096321106","0.7224000096321106","0.7224000096321106","914","914","914","0.7024000287055969","0.7024000287055969","0.7024000287055969","914","914","914","0.753600001335144","0.753600001335144","0.753600001335144","914","914","914","0.765500009059906","0.765500009059906","0.765500009059906"
"55","930","930","930","0.7275999784469604","0.7275999784469604","0.7275999784469604","930","930","930","0.7024999856948853","0.7024999856948853","0.7024999856948853","930","930","930","0.7497000098228455","0.7497000098228455","0.7497000098228455","930","930","930","0.7645000219345093","0.7645000219345093","0.7645000219345093"
"56","947","947","947","0.7092000246047974","0.7092000246047974","0.7092000246047974","947","947","947","0.7107999920845032","0.7107999920845032","0.7107999920845032","947","947","947","0.7462000250816345","0.7462000250816345","0.7462000250816345","947","947","947","0.7609000205993652","0.7609000205993652","0.7609000205993652"
"57","964","964","964","0.7207000255584717","0.7207000255584717","0.7207000255584717","964","964","964","0.7096999883651733","0.7096999883651733","0.7096999883651733","964","964","964","0.7476999759674072","0.7476999759674072","0.7476999759674072","964","964","964","0.7746999859809875","0.7746999859809875","0.7746999859809875"
"58","980","980","980","0.7113999724388123","0.7113999724388123","0.7113999724388123","980","980","980","0.7105000019073486","0.7105000019073486","0.7105000019073486","980","980","980","0.741100013256073","0.741100013256073","0.741100013256073","980","980","980","0.7705000042915344","0.7705000042915344","0.7705000042915344"
"59","997","997","997","0.7300999760627747","0.7300999760627747","0.7300999760627747","997","997","997","0.7125999927520752","0.7125999927520752","0.7125999927520752","997","997","997","0.7415000200271606","0.7415000200271606","0.7415000200271606","997","997","997","0.7753000259399414","0.7753000259399414","0.7753000259399414"
"60","1014","1014","1014","0.7257999777793884","0.7257999777793884","0.7257999777793884","1014","1014","1014","0.7167999744415283","0.7167999744415283","0.7167999744415283","1014","1014","1014","0.7506999969482422","0.7506999969482422","0.7506999969482422","1014","1014","1014","0.775600016117096","0.775600016117096","0.775600016117096"
"61","1030","1030","1030","0.7192999720573425","0.7192999720573425","0.7192999720573425","1030","1030","1030","0.7141000032424927","0.7141000032424927","0.7141000032424927","1030","1030","1030","0.7412999868392944","0.7412999868392944","0.7412999868392944","1030","1030","1030","0.7698000073432922","0.7698000073432922","0.7698000073432922"
"62","1047","1047","1047","0.70660001039505","0.70660001039505","0.70660001039505","1047","1047","1047","0.7093999981880188","0.7093999981880188","0.7093999981880188","1047","1047","1047","0.7534999847412109","0.7534999847412109","0.7534999847412109","1047","1047","1047","0.7717000246047974","0.7717000246047974","0.7717000246047974"
"63","1063","1063","1063","0.7282999753952026","0.7282999753952026","0.7282999753952026","1063","1063","1063","0.7067999839782715","0.7067999839782715","0.7067999839782715","1063","1063","1063","0.7477999925613403","0.7477999925613403","0.7477999925613403","1063","1063","1063","0.7710000276565552","0.7710000276565552","0.7710000276565552"
"64","1080","1080","1080","0.7383999824523926","0.7383999824523926","0.7383999824523926","1080","1080","1080","0.7245000004768372","0.7245000004768372","0.7245000004768372","1080","1080","1080","0.7487000226974487","0.7487000226974487","0.7487000226974487","1080","1080","1080","0.7716000080108643","0.7716000080108643","0.7716000080108643"
"65","1097","1097","1097","0.7204999923706055","0.7204999923706055","0.7204999923706055","1097","1097","1097","0.7206000089645386","0.7206000089645386","0.7206000089645386","1097","1097","1097","0.7523000240325928","0.7523000240325928","0.7523000240325928","1097","1097","1097","0.7728000283241272","0.7728000283241272","0.7728000283241272"
