"epoch","CNN - _step","CNN - _step__MIN","CNN - _step__MAX","CNN - validate_no_aug_accuracy/dataloader_idx_1","CNN - validate_no_aug_accuracy/dataloader_idx_1__MIN","CNN - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-random_patches - _step","LLN-random_patches - _step__MIN","LLN-random_patches - _step__MAX","LLN-random_patches - validate_no_aug_accuracy/dataloader_idx_1","LLN-random_patches - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-random_patches - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-convFalse - _step","LLN-convFalse - _step__MIN","LLN-convFalse - _step__MAX","LLN-convFalse - validate_no_aug_accuracy/dataloader_idx_1","LLN-convFalse - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-convFalse - validate_no_aug_accuracy/dataloader_idx_1__MAX","LLN-ours - _step","LLN-ours - _step__MIN","LLN-ours - _step__MAX","LLN-ours - validate_no_aug_accuracy/dataloader_idx_1","LLN-ours - validate_no_aug_accuracy/dataloader_idx_1__MIN","LLN-ours - validate_no_aug_accuracy/dataloader_idx_1__MAX"
"66","1113","1113","1113","0.7142000198364258","0.7142000198364258","0.7142000198364258","1113","1113","1113","0.7110000252723694","0.7110000252723694","0.7110000252723694","1113","1113","1113","0.7487000226974487","0.7487000226974487","0.7487000226974487","1113","1113","1113","0.7739999890327454","0.7739999890327454","0.7739999890327454"
"67","1130","1130","1130","0.7157999873161316","0.7157999873161316","0.7157999873161316","1130","1130","1130","0.7148000001907349","0.7148000001907349","0.7148000001907349","1130","1130","1130","0.75","0.75","0.75","1130","1130","1130","0.7709000110626221","0.7709000110626221","0.7709000110626221"
"68","1147","1147","1147","0.714900016784668","0.714900016784668","0.714900016784668","1147","1147","1147","0.7092000246047974","0.7092000246047974","0.7092000246047974","1147","1147","1147","0.7493000030517578","0.7493000030517578","0.7493000030517578","1147","1147","1147","0.7771999835968018","0.7771999835968018","0.7771999835968018"
"69","1163","1163","1163","0.7301999926567078","0.7301999926567078","0.7301999926567078","1163","1163","1163","0.7160000205039978","0.7160000205039978","0.7160000205039978","1163","1163","1163","0.7542999982833862","0.7542999982833862","0.7542999982833862","1163","1163","1163","0.7714999914169312","0.7714999914169312","0.7714999914169312"
"70","1180","1180","1180","0.7311999797821045","0.7311999797821045","0.7311999797821045","1180","1180","1180","0.7164999842643738","0.7164999842643738","0.7164999842643738","1180","1180","1180","0.7433000206947327","0.7433000206947327","0.7433000206947327","1180","1180","1180","0.7706000208854675","0.7706000208854675","0.7706000208854675"
"71","1197","1197","1197","0.7232999801635742","0.7232999801635742","0.7232999801635742","1197","1197","1197","0.7071999907493591","0.7071999907493591","0.7071999907493591","1197","1197","1197","0.7486000061035156","0.7486000061035156","0.7486000061035156","1197","1197","1197","0.7796000242233276","0.7796000242233276","0.7796000242233276"
"72","1213","1213","1213","0.7250000238418579","0.7250000238418579","0.7250000238418579","1213","1213","1213","0.7091000080108643","0.7091000080108643","0.7091000080108643","1213","1213","1213","0.7469000220298767","0.7469000220298767","0.7469000220298767","1213","1213","1213","0.7789999842643738","0.7789999842643738","0.7789999842643738"
"73","1230","1230","1230","0.7181000113487244","0.7181000113487244","0.7181000113487244","1230","1230","1230","0.7207000255584717","0.7207000255584717","0.7207000255584717","1230","1230","1230","0.7580999732017517","0.7580999732017517","0.7580999732017517","1230","1230","1230","0.7811999917030334","0.7811999917030334","0.7811999917030334"
"74","1247","1247","1247","0.7299000024795532","0.7299000024795532","0.7299000024795532","1247","1247","1247","0.7059999704360962","0.7059999704360962","0.7059999704360962","1247","1247","1247","0.7541000247001648","0.7541000247001648","0.7541000247001648","1247","1247","1247","0.777400016784668","0.777400016784668","0.777400016784668"
"75","1263","1263","1263","0.7260000109672546","0.7260000109672546","0.7260000109672546","1263","1263","1263","0.7167999744415283","0.7167999744415283","0.7167999744415283","1263","1263","1263","0.7534999847412109","0.7534999847412109","0.7534999847412109","1263","1263","1263","0.7738000154495239","0.7738000154495239","0.7738000154495239"
"76","1280","1280","1280","0.7389000058174133","0.7389000058174133","0.7389000058174133","1280","1280","1280","0.7139999866485596","0.7139999866485596","0.7139999866485596","1280","1280","1280","0.7634000182151794","0.7634000182151794","0.7634000182151794","1280","1280","1280","0.781000018119812","0.781000018119812","0.781000018119812"
"77","1296","1296","1296","0.7206000089645386","0.7206000089645386","0.7206000089645386","1296","1296","1296","0.7105000019073486","0.7105000019073486","0.7105000019073486","1296","1296","1296","0.7501000165939331","0.7501000165939331","0.7501000165939331","1296","1296","1296","0.7681999802589417","0.7681999802589417","0.7681999802589417"
"78","1313","1313","1313","0.7376999855041504","0.7376999855041504","0.7376999855041504","1313","1313","1313","0.7179999947547913","0.7179999947547913","0.7179999947547913","1313","1313","1313","0.7466999888420105","0.7466999888420105","0.7466999888420105","1313","1313","1313","0.7775999903678894","0.7775999903678894","0.7775999903678894"
"79","1330","1330","1330","0.7425000071525574","0.7425000071525574","0.7425000071525574","1330","1330","1330","0.7261000275611877","0.7261000275611877","0.7261000275611877","1330","1330","1330","0.7488999962806702","0.7488999962806702","0.7488999962806702","1330","1330","1330","0.7807999849319458","0.7807999849319458","0.7807999849319458"
"80","1346","1346","1346","0.7365999817848206","0.7365999817848206","0.7365999817848206","1346","1346","1346","0.7217000126838684","0.7217000126838684","0.7217000126838684","1346","1346","1346","0.7534999847412109","0.7534999847412109","0.7534999847412109","1346","1346","1346","0.7731000185012817","0.7731000185012817","0.7731000185012817"
"81","1363","1363","1363","0.733299970626831","0.733299970626831","0.733299970626831","1363","1363","1363","0.7132999897003174","0.7132999897003174","0.7132999897003174","1363","1363","1363","0.7495999932289124","0.7495999932289124","0.7495999932289124","1363","1363","1363","0.7738000154495239","0.7738000154495239","0.7738000154495239"
"82","1380","1380","1380","0.7325000166893005","0.7325000166893005","0.7325000166893005","1380","1380","1380","0.7197999954223633","0.7197999954223633","0.7197999954223633","1380","1380","1380","0.7483999729156494","0.7483999729156494","0.7483999729156494","1380","1380","1380","0.7696999907493591","0.7696999907493591","0.7696999907493591"
"83","1396","1396","1396","0.7321000099182129","0.7321000099182129","0.7321000099182129","1396","1396","1396","0.7145000100135803","0.7145000100135803","0.7145000100135803","1396","1396","1396","0.7540000081062317","0.7540000081062317","0.7540000081062317","1396","1396","1396","0.7692999839782715","0.7692999839782715","0.7692999839782715"
"84","1413","1413","1413","0.7434999942779541","0.7434999942779541","0.7434999942779541","1413","1413","1413","0.7056999802589417","0.7056999802589417","0.7056999802589417","1413","1413","1413","0.7542999982833862","0.7542999982833862","0.7542999982833862","1413","1413","1413","0.7803000211715698","0.7803000211715698","0.7803000211715698"
"85","1430","1430","1430","0.7310000061988831","0.7310000061988831","0.7310000061988831","1430","1430","1430","0.7196999788284302","0.7196999788284302","0.7196999788284302","1430","1430","1430","0.7512999773025513","0.7512999773025513","0.7512999773025513","1430","1430","1430","0.7818999886512756","0.7818999886512756","0.7818999886512756"
"86","1446","1446","1446","0.7314000129699707","0.7314000129699707","0.7314000129699707","1446","1446","1446","0.7135999798774719","0.7135999798774719","0.7135999798774719","1446","1446","1446","0.7505999803543091","0.7505999803543091","0.7505999803543091","1446","1446","1446","0.7775999903678894","0.7775999903678894","0.7775999903678894"
"87","1463","1463","1463","0.7339000105857849","0.7339000105857849","0.7339000105857849","1463","1463","1463","0.7210999727249146","0.7210999727249146","0.7210999727249146","1463","1463","1463","0.7544999718666077","0.7544999718666077","0.7544999718666077","1463","1463","1463","0.7795000076293945","0.7795000076293945","0.7795000076293945"
"88","1479","1479","1479","0.738099992275238","0.738099992275238","0.738099992275238","1479","1479","1479","0.7208999991416931","0.7208999991416931","0.7208999991416931","1479","1479","1479","0.7512999773025513","0.7512999773025513","0.7512999773025513","1479","1479","1479","0.7753000259399414","0.7753000259399414","0.7753000259399414"
"89","1496","1496","1496","0.7318999767303467","0.7318999767303467","0.7318999767303467","1496","1496","1496","0.7305999994277954","0.7305999994277954","0.7305999994277954","1496","1496","1496","0.7540000081062317","0.7540000081062317","0.7540000081062317","1496","1496","1496","0.7728000283241272","0.7728000283241272","0.7728000283241272"
"90","1513","1513","1513","0.737500011920929","0.737500011920929","0.737500011920929","1513","1513","1513","0.7283999919891357","0.7283999919891357","0.7283999919891357","1513","1513","1513","0.7531999945640564","0.7531999945640564","0.7531999945640564","1513","1513","1513","0.7810999751091003","0.7810999751091003","0.7810999751091003"
"91","1529","1529","1529","0.7454000115394592","0.7454000115394592","0.7454000115394592","1529","1529","1529","0.7160000205039978","0.7160000205039978","0.7160000205039978","1529","1529","1529","0.7545999884605408","0.7545999884605408","0.7545999884605408","1529","1529","1529","0.7749999761581421","0.7749999761581421","0.7749999761581421"
"92","1546","1546","1546","0.7422000169754028","0.7422000169754028","0.7422000169754028","1546","1546","1546","0.7253000140190125","0.7253000140190125","0.7253000140190125","1546","1546","1546","0.7580000162124634","0.7580000162124634","0.7580000162124634","1546","1546","1546","0.7854999899864197","0.7854999899864197","0.7854999899864197"
"93","1563","1563","1563","0.7289999723434448","0.7289999723434448","0.7289999723434448","1563","1563","1563","0.7214999794960022","0.7214999794960022","0.7214999794960022","1563","1563","1563","0.753000020980835","0.753000020980835","0.753000020980835","1563","1563","1563","0.7814000248908997","0.7814000248908997","0.7814000248908997"
"94","1579","1579","1579","0.73580002784729","0.73580002784729","0.73580002784729","1579","1579","1579","0.7224000096321106","0.7224000096321106","0.7224000096321106","1579","1579","1579","0.7595999836921692","0.7595999836921692","0.7595999836921692","1579","1579","1579","0.7746999859809875","0.7746999859809875","0.7746999859809875"
"95","1596","1596","1596","0.7394999861717224","0.7394999861717224","0.7394999861717224","1596","1596","1596","0.7178000211715698","0.7178000211715698","0.7178000211715698","1596","1596","1596","0.758899986743927","0.758899986743927","0.758899986743927","1596","1596","1596","0.7815999984741211","0.7815999984741211","0.7815999984741211"
"96","1613","1613","1613","0.7441999912261963","0.7441999912261963","0.7441999912261963","1613","1613","1613","0.7228999733924866","0.7228999733924866","0.7228999733924866","1613","1613","1613","0.7577000260353088","0.7577000260353088","0.7577000260353088","1613","1613","1613","0.7797999978065491","0.7797999978065491","0.7797999978065491"
"97","1629","1629","1629","0.7443000078201294","0.7443000078201294","0.7443000078201294","1629","1629","1629","0.7224000096321106","0.7224000096321106","0.7224000096321106","1629","1629","1629","0.7587000131607056","0.7587000131607056","0.7587000131607056","1629","1629","1629","0.7815999984741211","0.7815999984741211","0.7815999984741211"
"98","1646","1646","1646","0.7469000220298767","0.7469000220298767","0.7469000220298767","1646","1646","1646","0.7184000015258789","0.7184000015258789","0.7184000015258789","1646","1646","1646","0.7555999755859375","0.7555999755859375","0.7555999755859375","1646","1646","1646","0.7839999794960022","0.7839999794960022","0.7839999794960022"
"99","1663","1663","1663","0.7346000075340271","0.7346000075340271","0.7346000075340271","1663","1663","1663","0.7235999703407288","0.7235999703407288","0.7235999703407288","1663","1663","1663","0.7591000199317932","0.7591000199317932","0.7591000199317932","1663","1663","1663","0.7835000157356262","0.7835000157356262","0.7835000157356262"
"100","1679","1679","1679","0.7720000147819519","0.7720000147819519","0.7720000147819519","1679","1679","1679","0.7454000115394592","0.7454000115394592","0.7454000115394592","1679","1679","1679","0.7689999938011169","0.7689999938011169","0.7689999938011169","1679","1679","1679","0.7954999804496765","0.7954999804496765","0.7954999804496765"
"101","1696","1696","1696","0.7767000198364258","0.7767000198364258","0.7767000198364258","1696","1696","1696","0.7483000159263611","0.7483000159263611","0.7483000159263611","1696","1696","1696","0.7752000093460083","0.7752000093460083","0.7752000093460083","1696","1696","1696","0.7986000180244446","0.7986000180244446","0.7986000180244446"
"102","1712","1712","1712","0.7789000272750854","0.7789000272750854","0.7789000272750854","1712","1712","1712","0.7470999956130981","0.7470999956130981","0.7470999956130981","1712","1712","1712","0.7760999798774719","0.7760999798774719","0.7760999798774719","1712","1712","1712","0.7990000247955322","0.7990000247955322","0.7990000247955322"
"103","1729","1729","1729","0.7799999713897705","0.7799999713897705","0.7799999713897705","1729","1729","1729","0.7506999969482422","0.7506999969482422","0.7506999969482422","1729","1729","1729","0.7727000117301941","0.7727000117301941","0.7727000117301941","1729","1729","1729","0.800599992275238","0.800599992275238","0.800599992275238"
"104","1746","1746","1746","0.7817000150680542","0.7817000150680542","0.7817000150680542","1746","1746","1746","0.7480000257492065","0.7480000257492065","0.7480000257492065","1746","1746","1746","0.7764999866485596","0.7764999866485596","0.7764999866485596","1746","1746","1746","0.8047000169754028","0.8047000169754028","0.8047000169754028"
"105","1762","1762","1762","0.77920001745224","0.77920001745224","0.77920001745224","1762","1762","1762","0.7487999796867371","0.7487999796867371","0.7487999796867371","1762","1762","1762","0.7778000235557556","0.7778000235557556","0.7778000235557556","1762","1762","1762","0.8046000003814697","0.8046000003814697","0.8046000003814697"
"106","1779","1779","1779","0.7810999751091003","0.7810999751091003","0.7810999751091003","1779","1779","1779","0.7524999976158142","0.7524999976158142","0.7524999976158142","1779","1779","1779","0.7764000296592712","0.7764000296592712","0.7764000296592712","1779","1779","1779","0.8033000230789185","0.8033000230789185","0.8033000230789185"
"107","1796","1796","1796","0.7861999869346619","0.7861999869346619","0.7861999869346619","1796","1796","1796","0.7538999915122986","0.7538999915122986","0.7538999915122986","1796","1796","1796","0.7764000296592712","0.7764000296592712","0.7764000296592712","1796","1796","1796","0.805899977684021","0.805899977684021","0.805899977684021"
"108","1812","1812","1812","0.7804999947547913","0.7804999947547913","0.7804999947547913","1812","1812","1812","0.7524999976158142","0.7524999976158142","0.7524999976158142","1812","1812","1812","0.779699981212616","0.779699981212616","0.779699981212616","1812","1812","1812","0.8061000108718872","0.8061000108718872","0.8061000108718872"
"109","1829","1829","1829","0.7836999893188477","0.7836999893188477","0.7836999893188477","1829","1829","1829","0.7523999810218811","0.7523999810218811","0.7523999810218811","1829","1829","1829","0.7768999934196472","0.7768999934196472","0.7768999934196472","1829","1829","1829","0.8046000003814697","0.8046000003814697","0.8046000003814697"
"110","1846","1846","1846","0.7827000021934509","0.7827000021934509","0.7827000021934509","1846","1846","1846","0.7505999803543091","0.7505999803543091","0.7505999803543091","1846","1846","1846","0.7768999934196472","0.7768999934196472","0.7768999934196472","1846","1846","1846","0.8029999732971191","0.8029999732971191","0.8029999732971191"
"111","1862","1862","1862","0.7861999869346619","0.7861999869346619","0.7861999869346619","1862","1862","1862","0.7513999938964844","0.7513999938964844","0.7513999938964844","1862","1862","1862","0.7771000266075134","0.7771000266075134","0.7771000266075134","1862","1862","1862","0.8037999868392944","0.8037999868392944","0.8037999868392944"
"112","1879","1879","1879","0.7839999794960022","0.7839999794960022","0.7839999794960022","1879","1879","1879","0.7541000247001648","0.7541000247001648","0.7541000247001648","1879","1879","1879","0.7806000113487244","0.7806000113487244","0.7806000113487244","1879","1879","1879","0.8065999746322632","0.8065999746322632","0.8065999746322632"
"113","1895","1895","1895","0.7825000286102295","0.7825000286102295","0.7825000286102295","1895","1895","1895","0.7529000043869019","0.7529000043869019","0.7529000043869019","1895","1895","1895","0.7785000205039978","0.7785000205039978","0.7785000205039978","1895","1895","1895","0.8046000003814697","0.8046000003814697","0.8046000003814697"
"114","1912","1912","1912","0.7854999899864197","0.7854999899864197","0.7854999899864197","1912","1912","1912","0.7574999928474426","0.7574999928474426","0.7574999928474426","1912","1912","1912","0.7795000076293945","0.7795000076293945","0.7795000076293945","1912","1912","1912","0.8062000274658203","0.8062000274658203","0.8062000274658203"
"115","1929","1929","1929","0.7874000072479248","0.7874000072479248","0.7874000072479248","1929","1929","1929","0.7562000155448914","0.7562000155448914","0.7562000155448914","1929","1929","1929","0.7807000279426575","0.7807000279426575","0.7807000279426575","1929","1929","1929","0.8026999831199646","0.8026999831199646","0.8026999831199646"
"116","1945","1945","1945","0.7865999937057495","0.7865999937057495","0.7865999937057495","1945","1945","1945","0.7538999915122986","0.7538999915122986","0.7538999915122986","1945","1945","1945","0.7828999757766724","0.7828999757766724","0.7828999757766724","1945","1945","1945","0.8054999709129333","0.8054999709129333","0.8054999709129333"
"117","1962","1962","1962","0.7858999967575073","0.7858999967575073","0.7858999967575073","1962","1962","1962","0.753600001335144","0.753600001335144","0.753600001335144","1962","1962","1962","0.77920001745224","0.77920001745224","0.77920001745224","1962","1962","1962","0.8043000102043152","0.8043000102043152","0.8043000102043152"
"118","1979","1979","1979","0.7894999980926514","0.7894999980926514","0.7894999980926514","1979","1979","1979","0.7544999718666077","0.7544999718666077","0.7544999718666077","1979","1979","1979","0.7810999751091003","0.7810999751091003","0.7810999751091003","1979","1979","1979","0.805899977684021","0.805899977684021","0.805899977684021"
"119","1995","1995","1995","0.7875000238418579","0.7875000238418579","0.7875000238418579","1995","1995","1995","0.7562999725341797","0.7562999725341797","0.7562999725341797","1995","1995","1995","0.7799999713897705","0.7799999713897705","0.7799999713897705","1995","1995","1995","0.8062999844551086","0.8062999844551086","0.8062999844551086"
"120","2012","2012","2012","0.7883999943733215","0.7883999943733215","0.7883999943733215","2012","2012","2012","0.7551000118255615","0.7551000118255615","0.7551000118255615","2012","2012","2012","0.7825999855995178","0.7825999855995178","0.7825999855995178","2012","2012","2012","0.8025000095367432","0.8025000095367432","0.8025000095367432"
"121","2029","2029","2029","0.781000018119812","0.781000018119812","0.781000018119812","2029","2029","2029","0.7530999779701233","0.7530999779701233","0.7530999779701233","2029","2029","2029","0.7806000113487244","0.7806000113487244","0.7806000113487244","2029","2029","2029","0.8052999973297119","0.8052999973297119","0.8052999973297119"
"122","2045","2045","2045","0.7843999862670898","0.7843999862670898","0.7843999862670898","2045","2045","2045","0.7558000087738037","0.7558000087738037","0.7558000087738037","2045","2045","2045","0.7810999751091003","0.7810999751091003","0.7810999751091003","2045","2045","2045","0.8055999875068665","0.8055999875068665","0.8055999875068665"
"123","2062","2062","2062","0.7875999808311462","0.7875999808311462","0.7875999808311462","2062","2062","2062","0.7554000020027161","0.7554000020027161","0.7554000020027161","2062","2062","2062","0.7791000008583069","0.7791000008583069","0.7791000008583069","2062","2062","2062","0.8082000017166138","0.8082000017166138","0.8082000017166138"
"124","2079","2079","2079","0.7879999876022339","0.7879999876022339","0.7879999876022339","2079","2079","2079","0.7548999786376953","0.7548999786376953","0.7548999786376953","2079","2079","2079","0.7807999849319458","0.7807999849319458","0.7807999849319458","2079","2079","2079","0.8054999709129333","0.8054999709129333","0.8054999709129333"
"125","2095","2095","2095","0.7870000004768372","0.7870000004768372","0.7870000004768372","2095","2095","2095","0.7559000253677368","0.7559000253677368","0.7559000253677368","2095","2095","2095","0.7814000248908997","0.7814000248908997","0.7814000248908997","2095","2095","2095","0.8047999739646912","0.8047999739646912","0.8047999739646912"
"126","2112","2112","2112","0.7876999974250793","0.7876999974250793","0.7876999974250793","2112","2112","2112","0.7581999897956848","0.7581999897956848","0.7581999897956848","2112","2112","2112","0.7796000242233276","0.7796000242233276","0.7796000242233276","2112","2112","2112","0.8050000071525574","0.8050000071525574","0.8050000071525574"
"127","2128","2128","2128","0.7843999862670898","0.7843999862670898","0.7843999862670898","2128","2128","2128","0.7559000253677368","0.7559000253677368","0.7559000253677368","2128","2128","2128","0.7792999744415283","0.7792999744415283","0.7792999744415283","2128","2128","2128","0.805899977684021","0.805899977684021","0.805899977684021"
"128","2145","2145","2145","0.7865999937057495","0.7865999937057495","0.7865999937057495","2145","2145","2145","0.7566999793052673","0.7566999793052673","0.7566999793052673","2145","2145","2145","0.7821999788284302","0.7821999788284302","0.7821999788284302","2145","2145","2145","0.8069999814033508","0.8069999814033508","0.8069999814033508"
"129","2162","2162","2162","0.7858999967575073","0.7858999967575073","0.7858999967575073","2162","2162","2162","0.7533000111579895","0.7533000111579895","0.7533000111579895","2162","2162","2162","0.7809000015258789","0.7809000015258789","0.7809000015258789","2162","2162","2162","0.8064000010490417","0.8064000010490417","0.8064000010490417"
"130","2178","2178","2178","0.7925000190734863","0.7925000190734863","0.7925000190734863","2178","2178","2178","0.7555999755859375","0.7555999755859375","0.7555999755859375","2178","2178","2178","0.7803000211715698","0.7803000211715698","0.7803000211715698","2178","2178","2178","0.8086000084877014","0.8086000084877014","0.8086000084877014"
"131","2195","2195","2195","0.7871000170707703","0.7871000170707703","0.7871000170707703","2195","2195","2195","0.7585999965667725","0.7585999965667725","0.7585999965667725","2195","2195","2195","0.7817000150680542","0.7817000150680542","0.7817000150680542","2195","2195","2195","0.8052999973297119","0.8052999973297119","0.8052999973297119"
"132","2212","2212","2212","0.7858999967575073","0.7858999967575073","0.7858999967575073","2212","2212","2212","0.7554000020027161","0.7554000020027161","0.7554000020027161","2212","2212","2212","0.7817000150680542","0.7817000150680542","0.7817000150680542","2212","2212","2212","0.8068000078201294","0.8068000078201294","0.8068000078201294"
